Date,Time,Police Station,City,State,Crime Type,Fir Number
2023-12-26,18:12:15,Nungambakkam Police Station,Patna,Bihar,Cyber Crime,FIR000001
2023-03-01,15:03:00,Connaught Place Police Station,Kolkata,West Bengal,Theft,FIR000002
2023-12-03,01:25:20,Nungambakkam Police Station,Bengaluru,Karnataka,Murder,FIR000003
2023-09-21,21:00:24,Cantonment Police Station,Patna,Bihar,Kidnapping,FIR000004
2023-08-24,18:24:50,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Kidnapping,FIR000005
2022-03-04,15:02:21,MG Road Police Station,Mumbai,Maharashtra,Theft,FIR000006
2023-06-09,13:45:00,Bandra Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR000007
2024-07-11,23:39:38,MG Road Police Station,Bengaluru,Karnataka,Fraud,FIR000008
2023-07-01,00:12:45,MG Road Police Station,Lucknow,Uttar Pradesh,Theft,FIR000009
2022-04-18,22:47:01,Park Street Police Station,Hyderabad,Telangana,Murder,FIR000010
2023-09-07,04:30:33,Bandra Police Station,Jaipur,Rajasthan,Murder,FIR000011
2022-12-28,02:31:51,Cantonment Police Station,Chennai,Tamil Nadu,Robbery,FIR000012
2023-10-07,01:57:06,Bandra Police Station,Jaipur,Rajasthan,Theft,FIR000013
2023-02-13,08:00:12,MG Road Police Station,Kolkata,West Bengal,Robbery,FIR000014
2022-07-04,19:03:02,Connaught Place Police Station,Hyderabad,Telangana,Fraud,FIR000015
2023-01-23,10:30:44,Connaught Place Police Station,Kolkata,West Bengal,Murder,FIR000016
2022-03-31,09:31:15,MG Road Police Station,Bengaluru,Karnataka,Cyber Crime,FIR000017
2021-12-19,14:54:25,Nungambakkam Police Station,Bengaluru,Karnataka,Theft,FIR000018
2020-11-13,03:43:03,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR000019
2023-06-08,15:14:13,Connaught Place Police Station,Jaipur,Rajasthan,Assault,FIR000020
2021-05-15,20:27:23,Bandra Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR000021
2024-07-05,04:16:51,Nungambakkam Police Station,Patna,Bihar,Robbery,FIR000022
2021-12-27,18:49:20,Connaught Place Police Station,Chennai,Tamil Nadu,Theft,FIR000023
2021-07-05,19:06:24,Bandra Police Station,Bengaluru,Karnataka,Kidnapping,FIR000024
2022-09-12,02:20:17,Lajpat Nagar Police Station,Kolkata,West Bengal,Assault,FIR000025
2023-06-18,23:39:24,Connaught Place Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR000026
2024-06-30,04:42:02,Connaught Place Police Station,Hyderabad,Telangana,Robbery,FIR000027
2022-06-01,17:40:38,Park Street Police Station,Lucknow,Uttar Pradesh,Cyber Crime,FIR000028
2024-06-29,10:25:15,Connaught Place Police Station,Hyderabad,Telangana,Assault,FIR000029
2023-06-02,18:29:09,Lajpat Nagar Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR000030
2021-02-22,09:54:58,Connaught Place Police Station,Hyderabad,Telangana,Robbery,FIR000031
2022-01-28,09:13:10,Bandra Police Station,Bengaluru,Karnataka,Cyber Crime,FIR000032
2021-11-06,00:54:55,Sector 18 Police Station,Bengaluru,Karnataka,Robbery,FIR000033
2023-08-20,04:00:53,Cantonment Police Station,Kolkata,West Bengal,Fraud,FIR000034
2021-12-16,16:25:55,Lajpat Nagar Police Station,Lucknow,Uttar Pradesh,Murder,FIR000035
2024-08-25,09:00:18,Connaught Place Police Station,Patna,Bihar,Murder,FIR000036
2021-04-29,16:14:10,Bandra Police Station,Lucknow,Uttar Pradesh,Murder,FIR000037
2023-05-23,00:13:50,Park Street Police Station,Kolkata,West Bengal,Robbery,FIR000038
2023-07-26,01:51:07,MG Road Police Station,Patna,Bihar,Robbery,FIR000039
2022-03-08,17:24:21,MG Road Police Station,Mumbai,Maharashtra,Kidnapping,FIR000040
2021-10-06,00:16:11,Bandra Police Station,Chennai,Tamil Nadu,Fraud,FIR000041
2023-03-08,15:47:44,Park Street Police Station,Jaipur,Rajasthan,Murder,FIR000042
2024-07-13,01:02:51,Nungambakkam Police Station,Lucknow,Uttar Pradesh,Robbery,FIR000043
2022-07-20,01:12:29,Connaught Place Police Station,Bengaluru,Karnataka,Theft,FIR000044
2024-02-15,11:30:32,Nungambakkam Police Station,Lucknow,Uttar Pradesh,Murder,FIR000045
2023-07-17,02:04:37,Connaught Place Police Station,Patna,Bihar,Robbery,FIR000046
2020-11-06,00:07:00,Bandra Police Station,Chennai,Tamil Nadu,Robbery,FIR000047
2022-12-28,14:23:04,MG Road Police Station,Chennai,Tamil Nadu,Assault,FIR000048
2022-12-18,14:33:30,Park Street Police Station,Patna,Bihar,Assault,FIR000049
2021-02-22,01:27:33,Connaught Place Police Station,New Delhi,Delhi,Theft,FIR000050
2022-05-07,22:50:27,Sector 18 Police Station,New Delhi,Delhi,Cyber Crime,FIR000051
2021-10-23,15:43:19,Bandra Police Station,Ahmedabad,Gujarat,Kidnapping,FIR000052
2021-11-14,20:07:40,Sector 18 Police Station,Mumbai,Maharashtra,Theft,FIR000053
2021-03-30,23:10:33,Connaught Place Police Station,Chennai,Tamil Nadu,Cyber Crime,FIR000054
2021-05-16,22:35:56,MG Road Police Station,Bengaluru,Karnataka,Assault,FIR000055
2022-08-29,02:01:32,Park Street Police Station,New Delhi,Delhi,Kidnapping,FIR000056
2021-04-12,08:14:09,Connaught Place Police Station,Patna,Bihar,Fraud,FIR000057
2023-03-18,16:27:49,Nungambakkam Police Station,Jaipur,Rajasthan,Assault,FIR000058
2021-07-20,06:24:41,Bandra Police Station,Ahmedabad,Gujarat,Fraud,FIR000059
2023-04-21,22:49:35,MG Road Police Station,Mumbai,Maharashtra,Fraud,FIR000060
2023-02-23,16:40:11,Lajpat Nagar Police Station,Hyderabad,Telangana,Kidnapping,FIR000061
2021-11-06,06:20:49,Park Street Police Station,Patna,Bihar,Theft,FIR000062
2021-05-23,11:15:14,Lajpat Nagar Police Station,New Delhi,Delhi,Murder,FIR000063
2024-06-14,09:05:00,Sector 18 Police Station,Chennai,Tamil Nadu,Robbery,FIR000064
2020-10-20,12:15:22,Connaught Place Police Station,Mumbai,Maharashtra,Theft,FIR000065
2021-12-14,12:10:30,Sector 18 Police Station,New Delhi,Delhi,Theft,FIR000066
2023-12-08,02:52:07,Cantonment Police Station,Lucknow,Uttar Pradesh,Robbery,FIR000067
2022-04-14,13:19:34,MG Road Police Station,Chennai,Tamil Nadu,Theft,FIR000068
2022-10-14,14:52:22,Sector 18 Police Station,Hyderabad,Telangana,Theft,FIR000069
2021-05-24,01:15:02,Bandra Police Station,Bengaluru,Karnataka,Theft,FIR000070
2022-07-12,15:40:00,Cantonment Police Station,Chennai,Tamil Nadu,Murder,FIR000071
2022-08-12,01:44:24,Lajpat Nagar Police Station,Bengaluru,Karnataka,Theft,FIR000072
2024-07-16,12:48:13,Cantonment Police Station,Chennai,Tamil Nadu,Theft,FIR000073
2022-12-10,16:09:44,Sector 18 Police Station,Chennai,Tamil Nadu,Fraud,FIR000074
2021-06-17,14:07:33,Connaught Place Police Station,Bengaluru,Karnataka,Fraud,FIR000075
2021-05-25,19:09:29,MG Road Police Station,New Delhi,Delhi,Murder,FIR000076
2022-02-21,00:10:30,Bandra Police Station,Kolkata,West Bengal,Murder,FIR000077
2022-08-31,19:09:46,Park Street Police Station,Hyderabad,Telangana,Cyber Crime,FIR000078
2022-07-05,10:52:01,Nungambakkam Police Station,Hyderabad,Telangana,Assault,FIR000079
